id,document,summary
99,Machine learning is a subset of artificial intelligence.,ML is part of AI.
100,John went to the store to buy some groceries.,John bought groceries.
101,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
102,Artificial intelligence is transforming the tech industry.,AI is changing tech.
103,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
104,Machine learning is a subset of artificial intelligence.,ML is part of AI.
105,John went to the store to buy some groceries.,John bought groceries.
106,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
107,Artificial intelligence is transforming the tech industry.,AI is changing tech.
108,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
109,Machine learning is a subset of artificial intelligence.,ML is part of AI.
110,John went to the store to buy some groceries.,John bought groceries.
111,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
112,Artificial intelligence is transforming the tech industry.,AI is changing tech.
113,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
114,Machine learning is a subset of artificial intelligence.,ML is part of AI.
115,John went to the store to buy some groceries.,John bought groceries.
116,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
117,Artificial intelligence is transforming the tech industry.,AI is changing tech.
118,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
119,Machine learning is a subset of artificial intelligence.,ML is part of AI.
120,John went to the store to buy some groceries.,John bought groceries.
121,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
122,Artificial intelligence is transforming the tech industry.,AI is changing tech.
123,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
124,Machine learning is a subset of artificial intelligence.,ML is part of AI.
125,John went to the store to buy some groceries.,John bought groceries.
126,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
127,Artificial intelligence is transforming the tech industry.,AI is changing tech.
128,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
129,Machine learning is a subset of artificial intelligence.,ML is part of AI.
130,John went to the store to buy some groceries.,John bought groceries.
131,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
132,Artificial intelligence is transforming the tech industry.,AI is changing tech.
133,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
134,Machine learning is a subset of artificial intelligence.,ML is part of AI.
135,John went to the store to buy some groceries.,John bought groceries.
136,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
137,Artificial intelligence is transforming the tech industry.,AI is changing tech.
138,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
139,Machine learning is a subset of artificial intelligence.,ML is part of AI.
140,John went to the store to buy some groceries.,John bought groceries.
141,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
142,Artificial intelligence is transforming the tech industry.,AI is changing tech.
143,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
144,Machine learning is a subset of artificial intelligence.,ML is part of AI.
145,John went to the store to buy some groceries.,John bought groceries.
146,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
147,Artificial intelligence is transforming the tech industry.,AI is changing tech.
148,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
149,Machine learning is a subset of artificial intelligence.,ML is part of AI.
150,John went to the store to buy some groceries.,John bought groceries.
151,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
152,Artificial intelligence is transforming the tech industry.,AI is changing tech.
153,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
154,Machine learning is a subset of artificial intelligence.,ML is part of AI.
155,John went to the store to buy some groceries.,John bought groceries.
156,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
157,Artificial intelligence is transforming the tech industry.,AI is changing tech.
158,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
159,Machine learning is a subset of artificial intelligence.,ML is part of AI.
160,John went to the store to buy some groceries.,John bought groceries.
161,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
162,Artificial intelligence is transforming the tech industry.,AI is changing tech.
163,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
164,Machine learning is a subset of artificial intelligence.,ML is part of AI.
165,John went to the store to buy some groceries.,John bought groceries.
166,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
167,Artificial intelligence is transforming the tech industry.,AI is changing tech.
168,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
169,Machine learning is a subset of artificial intelligence.,ML is part of AI.
170,John went to the store to buy some groceries.,John bought groceries.
171,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
172,Artificial intelligence is transforming the tech industry.,AI is changing tech.
173,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
174,Machine learning is a subset of artificial intelligence.,ML is part of AI.
175,John went to the store to buy some groceries.,John bought groceries.
176,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
177,Artificial intelligence is transforming the tech industry.,AI is changing tech.
178,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
179,Machine learning is a subset of artificial intelligence.,ML is part of AI.
180,John went to the store to buy some groceries.,John bought groceries.
181,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
182,Artificial intelligence is transforming the tech industry.,AI is changing tech.
183,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
184,Machine learning is a subset of artificial intelligence.,ML is part of AI.
185,John went to the store to buy some groceries.,John bought groceries.
186,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
187,Artificial intelligence is transforming the tech industry.,AI is changing tech.
188,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
189,Machine learning is a subset of artificial intelligence.,ML is part of AI.
190,John went to the store to buy some groceries.,John bought groceries.
191,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
192,Artificial intelligence is transforming the tech industry.,AI is changing tech.
193,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
194,Machine learning is a subset of artificial intelligence.,ML is part of AI.
195,John went to the store to buy some groceries.,John bought groceries.
196,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
197,Artificial intelligence is transforming the tech industry.,AI is changing tech.
198,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
199,Machine learning is a subset of artificial intelligence.,ML is part of AI.
200,John went to the store to buy some groceries.,John bought groceries.
201,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
202,Artificial intelligence is transforming the tech industry.,AI is changing tech.
203,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
204,Machine learning is a subset of artificial intelligence.,ML is part of AI.
205,John went to the store to buy some groceries.,John bought groceries.
206,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
207,Artificial intelligence is transforming the tech industry.,AI is changing tech.
208,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
209,Machine learning is a subset of artificial intelligence.,ML is part of AI.
210,John went to the store to buy some groceries.,John bought groceries.
211,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
212,Artificial intelligence is transforming the tech industry.,AI is changing tech.
213,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
214,Machine learning is a subset of artificial intelligence.,ML is part of AI.
215,John went to the store to buy some groceries.,John bought groceries.
216,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
217,Artificial intelligence is transforming the tech industry.,AI is changing tech.
218,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
219,Machine learning is a subset of artificial intelligence.,ML is part of AI.
220,John went to the store to buy some groceries.,John bought groceries.
221,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
222,Artificial intelligence is transforming the tech industry.,AI is changing tech.
223,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
224,Machine learning is a subset of artificial intelligence.,ML is part of AI.
225,John went to the store to buy some groceries.,John bought groceries.
226,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
227,Artificial intelligence is transforming the tech industry.,AI is changing tech.
228,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
229,Machine learning is a subset of artificial intelligence.,ML is part of AI.
230,John went to the store to buy some groceries.,John bought groceries.
231,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
232,Artificial intelligence is transforming the tech industry.,AI is changing tech.
233,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
234,Machine learning is a subset of artificial intelligence.,ML is part of AI.
235,John went to the store to buy some groceries.,John bought groceries.
236,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
237,Artificial intelligence is transforming the tech industry.,AI is changing tech.
238,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
239,Machine learning is a subset of artificial intelligence.,ML is part of AI.
240,John went to the store to buy some groceries.,John bought groceries.
241,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
242,Artificial intelligence is transforming the tech industry.,AI is changing tech.
243,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
244,Machine learning is a subset of artificial intelligence.,ML is part of AI.
245,John went to the store to buy some groceries.,John bought groceries.
246,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
247,Artificial intelligence is transforming the tech industry.,AI is changing tech.
248,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
249,Machine learning is a subset of artificial intelligence.,ML is part of AI.
250,John went to the store to buy some groceries.,John bought groceries.
251,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
252,Artificial intelligence is transforming the tech industry.,AI is changing tech.
253,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
254,Machine learning is a subset of artificial intelligence.,ML is part of AI.
255,John went to the store to buy some groceries.,John bought groceries.
256,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
257,Artificial intelligence is transforming the tech industry.,AI is changing tech.
258,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
259,Machine learning is a subset of artificial intelligence.,ML is part of AI.
260,John went to the store to buy some groceries.,John bought groceries.
261,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
262,Artificial intelligence is transforming the tech industry.,AI is changing tech.
263,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
264,Machine learning is a subset of artificial intelligence.,ML is part of AI.
265,John went to the store to buy some groceries.,John bought groceries.
266,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
267,Artificial intelligence is transforming the tech industry.,AI is changing tech.
268,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
269,Machine learning is a subset of artificial intelligence.,ML is part of AI.
270,John went to the store to buy some groceries.,John bought groceries.
271,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
272,Artificial intelligence is transforming the tech industry.,AI is changing tech.
273,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
274,Machine learning is a subset of artificial intelligence.,ML is part of AI.
275,John went to the store to buy some groceries.,John bought groceries.
276,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
277,Artificial intelligence is transforming the tech industry.,AI is changing tech.
278,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
279,Machine learning is a subset of artificial intelligence.,ML is part of AI.
280,John went to the store to buy some groceries.,John bought groceries.
281,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
282,Artificial intelligence is transforming the tech industry.,AI is changing tech.
283,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
284,Machine learning is a subset of artificial intelligence.,ML is part of AI.
285,John went to the store to buy some groceries.,John bought groceries.
286,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
287,Artificial intelligence is transforming the tech industry.,AI is changing tech.
288,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
289,Machine learning is a subset of artificial intelligence.,ML is part of AI.
290,John went to the store to buy some groceries.,John bought groceries.
291,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
292,Artificial intelligence is transforming the tech industry.,AI is changing tech.
293,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
294,Machine learning is a subset of artificial intelligence.,ML is part of AI.
295,John went to the store to buy some groceries.,John bought groceries.
296,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
297,Artificial intelligence is transforming the tech industry.,AI is changing tech.
298,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
299,Machine learning is a subset of artificial intelligence.,ML is part of AI.
300,John went to the store to buy some groceries.,John bought groceries.
301,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
302,Artificial intelligence is transforming the tech industry.,AI is changing tech.
303,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
304,Machine learning is a subset of artificial intelligence.,ML is part of AI.
305,John went to the store to buy some groceries.,John bought groceries.
306,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
307,Artificial intelligence is transforming the tech industry.,AI is changing tech.
308,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
309,Machine learning is a subset of artificial intelligence.,ML is part of AI.
310,John went to the store to buy some groceries.,John bought groceries.
311,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
312,Artificial intelligence is transforming the tech industry.,AI is changing tech.
313,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
314,Machine learning is a subset of artificial intelligence.,ML is part of AI.
315,John went to the store to buy some groceries.,John bought groceries.
316,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
317,Artificial intelligence is transforming the tech industry.,AI is changing tech.
318,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
319,Machine learning is a subset of artificial intelligence.,ML is part of AI.
320,John went to the store to buy some groceries.,John bought groceries.
321,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
322,Artificial intelligence is transforming the tech industry.,AI is changing tech.
323,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
324,Machine learning is a subset of artificial intelligence.,ML is part of AI.
325,John went to the store to buy some groceries.,John bought groceries.
326,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
327,Artificial intelligence is transforming the tech industry.,AI is changing tech.
328,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
329,Machine learning is a subset of artificial intelligence.,ML is part of AI.
330,John went to the store to buy some groceries.,John bought groceries.
331,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
332,Artificial intelligence is transforming the tech industry.,AI is changing tech.
333,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
334,Machine learning is a subset of artificial intelligence.,ML is part of AI.
335,John went to the store to buy some groceries.,John bought groceries.
336,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
337,Artificial intelligence is transforming the tech industry.,AI is changing tech.
338,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
339,Machine learning is a subset of artificial intelligence.,ML is part of AI.
340,John went to the store to buy some groceries.,John bought groceries.
341,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
342,Artificial intelligence is transforming the tech industry.,AI is changing tech.
343,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
344,Machine learning is a subset of artificial intelligence.,ML is part of AI.
345,John went to the store to buy some groceries.,John bought groceries.
346,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
347,Artificial intelligence is transforming the tech industry.,AI is changing tech.
348,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
349,Machine learning is a subset of artificial intelligence.,ML is part of AI.
350,John went to the store to buy some groceries.,John bought groceries.
351,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
352,Artificial intelligence is transforming the tech industry.,AI is changing tech.
353,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
354,Machine learning is a subset of artificial intelligence.,ML is part of AI.
355,John went to the store to buy some groceries.,John bought groceries.
356,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
357,Artificial intelligence is transforming the tech industry.,AI is changing tech.
358,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
359,Machine learning is a subset of artificial intelligence.,ML is part of AI.
360,John went to the store to buy some groceries.,John bought groceries.
361,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
362,Artificial intelligence is transforming the tech industry.,AI is changing tech.
363,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
364,Machine learning is a subset of artificial intelligence.,ML is part of AI.
365,John went to the store to buy some groceries.,John bought groceries.
366,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
367,Artificial intelligence is transforming the tech industry.,AI is changing tech.
368,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
369,Machine learning is a subset of artificial intelligence.,ML is part of AI.
370,John went to the store to buy some groceries.,John bought groceries.
371,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
372,Artificial intelligence is transforming the tech industry.,AI is changing tech.
373,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
374,Machine learning is a subset of artificial intelligence.,ML is part of AI.
375,John went to the store to buy some groceries.,John bought groceries.
376,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
377,Artificial intelligence is transforming the tech industry.,AI is changing tech.
378,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
379,Machine learning is a subset of artificial intelligence.,ML is part of AI.
380,John went to the store to buy some groceries.,John bought groceries.
381,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
382,Artificial intelligence is transforming the tech industry.,AI is changing tech.
383,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
384,Machine learning is a subset of artificial intelligence.,ML is part of AI.
385,John went to the store to buy some groceries.,John bought groceries.
386,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
387,Artificial intelligence is transforming the tech industry.,AI is changing tech.
388,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
389,Machine learning is a subset of artificial intelligence.,ML is part of AI.
390,John went to the store to buy some groceries.,John bought groceries.
391,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
392,Artificial intelligence is transforming the tech industry.,AI is changing tech.
393,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
394,Machine learning is a subset of artificial intelligence.,ML is part of AI.
395,John went to the store to buy some groceries.,John bought groceries.
396,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
397,Artificial intelligence is transforming the tech industry.,AI is changing tech.
398,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
399,Machine learning is a subset of artificial intelligence.,ML is part of AI.
400,John went to the store to buy some groceries.,John bought groceries.
401,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
402,Artificial intelligence is transforming the tech industry.,AI is changing tech.
403,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
404,Machine learning is a subset of artificial intelligence.,ML is part of AI.
405,John went to the store to buy some groceries.,John bought groceries.
406,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
407,Artificial intelligence is transforming the tech industry.,AI is changing tech.
408,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
409,Machine learning is a subset of artificial intelligence.,ML is part of AI.
410,John went to the store to buy some groceries.,John bought groceries.
411,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
412,Artificial intelligence is transforming the tech industry.,AI is changing tech.
413,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
414,Machine learning is a subset of artificial intelligence.,ML is part of AI.
415,John went to the store to buy some groceries.,John bought groceries.
416,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
417,Artificial intelligence is transforming the tech industry.,AI is changing tech.
418,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
419,Machine learning is a subset of artificial intelligence.,ML is part of AI.
420,John went to the store to buy some groceries.,John bought groceries.
421,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
422,Artificial intelligence is transforming the tech industry.,AI is changing tech.
423,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
424,Machine learning is a subset of artificial intelligence.,ML is part of AI.
425,John went to the store to buy some groceries.,John bought groceries.
426,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
427,Artificial intelligence is transforming the tech industry.,AI is changing tech.
428,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
429,Machine learning is a subset of artificial intelligence.,ML is part of AI.
430,John went to the store to buy some groceries.,John bought groceries.
431,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
432,Artificial intelligence is transforming the tech industry.,AI is changing tech.
433,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
434,Machine learning is a subset of artificial intelligence.,ML is part of AI.
435,John went to the store to buy some groceries.,John bought groceries.
436,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
437,Artificial intelligence is transforming the tech industry.,AI is changing tech.
438,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
439,Machine learning is a subset of artificial intelligence.,ML is part of AI.
440,John went to the store to buy some groceries.,John bought groceries.
441,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
442,Artificial intelligence is transforming the tech industry.,AI is changing tech.
443,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
444,Machine learning is a subset of artificial intelligence.,ML is part of AI.
445,John went to the store to buy some groceries.,John bought groceries.
446,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
447,Artificial intelligence is transforming the tech industry.,AI is changing tech.
448,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
449,Machine learning is a subset of artificial intelligence.,ML is part of AI.
450,John went to the store to buy some groceries.,John bought groceries.
451,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
452,Artificial intelligence is transforming the tech industry.,AI is changing tech.
453,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
454,Machine learning is a subset of artificial intelligence.,ML is part of AI.
455,John went to the store to buy some groceries.,John bought groceries.
456,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
457,Artificial intelligence is transforming the tech industry.,AI is changing tech.
458,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
459,Machine learning is a subset of artificial intelligence.,ML is part of AI.
460,John went to the store to buy some groceries.,John bought groceries.
461,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
462,Artificial intelligence is transforming the tech industry.,AI is changing tech.
463,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
464,Machine learning is a subset of artificial intelligence.,ML is part of AI.
465,John went to the store to buy some groceries.,John bought groceries.
466,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
467,Artificial intelligence is transforming the tech industry.,AI is changing tech.
468,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
469,Machine learning is a subset of artificial intelligence.,ML is part of AI.
470,John went to the store to buy some groceries.,John bought groceries.
471,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
472,Artificial intelligence is transforming the tech industry.,AI is changing tech.
473,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
474,Machine learning is a subset of artificial intelligence.,ML is part of AI.
475,John went to the store to buy some groceries.,John bought groceries.
